onset	duration	sample	type	value
130.181640625	n/a	66654	STATUS	61480
131.189453125	n/a	67170	STATUS	61490
132.97265625	n/a	68083	STATUS	61501
134.015625	n/a	68617	STATUS	61510
134.265625	n/a	68745	STATUS	61450
135.765625	n/a	69513	STATUS	61463
136.130859375	n/a	69700	STATUS	61471
136.40625	n/a	69841	STATUS	61472
137.140625	n/a	70217	STATUS	61480
138.1484375	n/a	70733	STATUS	61490
139.70703125	n/a	71531	STATUS	61501
140.6328125	n/a	72005	STATUS	61510
140.8828125	n/a	72133	STATUS	61450
142.3828125	n/a	72901	STATUS	61468
142.748046875	n/a	73088	STATUS	61471
143.482421875	n/a	73464	STATUS	61472
143.7578125	n/a	73605	STATUS	61480
144.765625	n/a	74121	STATUS	61490
146.099609375	n/a	74804	STATUS	61501
146.95703125	n/a	75243	STATUS	61510
147.20703125	n/a	75371	STATUS	61450
148.70703125	n/a	76139	STATUS	61463
149.07421875	n/a	76327	STATUS	61471
149.349609375	n/a	76468	STATUS	61472
150.08203125	n/a	76843	STATUS	61480
151.091796875	n/a	77360	STATUS	61490
152.541015625	n/a	78102	STATUS	61501
153.5078125	n/a	78597	STATUS	61510
153.7578125	n/a	78725	STATUS	61450
155.2578125	n/a	79493	STATUS	61463
155.625	n/a	79681	STATUS	61471
155.900390625	n/a	79822	STATUS	61472
156.6328125	n/a	80197	STATUS	61480
157.642578125	n/a	80714	STATUS	61490
159.724609375	n/a	81780	STATUS	61500
160.7421875	n/a	82301	STATUS	61510
160.9921875	n/a	82429	STATUS	61450
162.4921875	n/a	83197	STATUS	61463
162.859375	n/a	83385	STATUS	61471
163.134765625	n/a	83526	STATUS	61472
163.8671875	n/a	83901	STATUS	61480
164.875	n/a	84417	STATUS	61490
167.04296875	n/a	85527	STATUS	61501
167.8515625	n/a	85941	STATUS	61510
168.1015625	n/a	86069	STATUS	61450
169.6015625	n/a	86837	STATUS	61468
169.966796875	n/a	87024	STATUS	61471
170.701171875	n/a	87400	STATUS	61472
170.9765625	n/a	87541	STATUS	61480
171.984375	n/a	88057	STATUS	61490
173.96875	n/a	89073	STATUS	61500
175.310546875	n/a	89760	STATUS	61511
175.560546875	n/a	89888	STATUS	61450
177.060546875	n/a	90656	STATUS	61463
177.42578125	n/a	90843	STATUS	61471
177.701171875	n/a	90984	STATUS	61472
178.435546875	n/a	91360	STATUS	61480
179.443359375	n/a	91876	STATUS	61490
181.451171875	n/a	92904	STATUS	61501
182.302734375	n/a	93340	STATUS	61511
182.552734375	n/a	93468	STATUS	61450
184.052734375	n/a	94236	STATUS	61463
184.41796875	n/a	94423	STATUS	61471
184.693359375	n/a	94564	STATUS	61472
185.427734375	n/a	94940	STATUS	61480
186.435546875	n/a	95456	STATUS	61490
188.728515625	n/a	96630	STATUS	61501
190.27734375	n/a	97423	STATUS	61510
190.52734375	n/a	97551	STATUS	61450
192.02734375	n/a	98319	STATUS	61463
192.39453125	n/a	98507	STATUS	61471
192.669921875	n/a	98648	STATUS	61472
193.40234375	n/a	99023	STATUS	61480
194.412109375	n/a	99540	STATUS	61490
195.794921875	n/a	100248	STATUS	61501
196.685546875	n/a	100704	STATUS	61510
196.935546875	n/a	100832	STATUS	61450
198.4375	n/a	101601	STATUS	61463
198.802734375	n/a	101788	STATUS	61471
199.078125	n/a	101929	STATUS	61472
199.8125	n/a	102305	STATUS	61480
200.8203125	n/a	102821	STATUS	61490
202.904296875	n/a	103888	STATUS	61501
203.845703125	n/a	104370	STATUS	61510
204.095703125	n/a	104498	STATUS	61450
205.595703125	n/a	105266	STATUS	61463
205.962890625	n/a	105454	STATUS	61471
206.236328125	n/a	105594	STATUS	61472
206.970703125	n/a	105970	STATUS	61480
207.978515625	n/a	106486	STATUS	61490
209.6875	n/a	107361	STATUS	61500
211.26171875	n/a	108167	STATUS	61511
211.51171875	n/a	108295	STATUS	61450
213.013671875	n/a	109064	STATUS	61463
213.37890625	n/a	109251	STATUS	61471
213.654296875	n/a	109392	STATUS	61472
214.388671875	n/a	109768	STATUS	61480
215.396484375	n/a	110284	STATUS	61490
216.845703125	n/a	111026	STATUS	61501
217.98828125	n/a	111611	STATUS	61510
218.23828125	n/a	111739	STATUS	61450
219.73828125	n/a	112507	STATUS	61463
220.10546875	n/a	112695	STATUS	61471
220.380859375	n/a	112836	STATUS	61472
221.11328125	n/a	113211	STATUS	61480
222.12109375	n/a	113727	STATUS	61490
222.712890625	n/a	114030	STATUS	61500
224.62109375	n/a	115007	STATUS	61511
224.87109375	n/a	115135	STATUS	61450
226.373046875	n/a	115904	STATUS	61463
226.73828125	n/a	116091	STATUS	61471
227.013671875	n/a	116232	STATUS	61472
227.748046875	n/a	116608	STATUS	61480
228.755859375	n/a	117124	STATUS	61490
230.439453125	n/a	117986	STATUS	61501
231.513671875	n/a	118536	STATUS	61510
231.763671875	n/a	118664	STATUS	61450
233.263671875	n/a	119432	STATUS	61463
233.630859375	n/a	119620	STATUS	61471
233.90625	n/a	119761	STATUS	61472
234.638671875	n/a	120136	STATUS	61480
235.6484375	n/a	120653	STATUS	61490
237.181640625	n/a	121438	STATUS	61501
238.03125	n/a	121873	STATUS	61510
238.28125	n/a	122001	STATUS	61450
239.78125	n/a	122769	STATUS	61468
240.1484375	n/a	122957	STATUS	61471
240.880859375	n/a	123332	STATUS	61472
241.15625	n/a	123473	STATUS	61480
242.1640625	n/a	123989	STATUS	61490
243.798828125	n/a	124826	STATUS	61501
244.7578125	n/a	125317	STATUS	61511
245.0078125	n/a	125445	STATUS	61450
246.5078125	n/a	126213	STATUS	61463
246.873046875	n/a	126400	STATUS	61471
247.1484375	n/a	126541	STATUS	61472
247.8828125	n/a	126917	STATUS	61480
248.890625	n/a	127433	STATUS	61490
251.158203125	n/a	128594	STATUS	61501
252.07421875	n/a	129063	STATUS	61511
252.32421875	n/a	129191	STATUS	61450
253.82421875	n/a	129959	STATUS	61463
254.19140625	n/a	130147	STATUS	61471
254.466796875	n/a	130288	STATUS	61472
255.19921875	n/a	130663	STATUS	61480
256.20703125	n/a	131179	STATUS	61490
258.107421875	n/a	132152	STATUS	61500
259.291015625	n/a	132758	STATUS	61511
259.541015625	n/a	132886	STATUS	61450
261.041015625	n/a	133654	STATUS	61468
261.408203125	n/a	133842	STATUS	61471
262.140625	n/a	134217	STATUS	61472
262.416015625	n/a	134358	STATUS	61480
263.42578125	n/a	134875	STATUS	61490
264.7421875	n/a	135549	STATUS	61501
265.5078125	n/a	135941	STATUS	61511
265.7578125	n/a	136069	STATUS	61450
267.2578125	n/a	136837	STATUS	61468
267.625	n/a	137025	STATUS	61471
268.359375	n/a	137401	STATUS	61472
268.6328125	n/a	137541	STATUS	61480
269.642578125	n/a	138058	STATUS	61490
271.2421875	n/a	138877	STATUS	61501
271.9921875	n/a	139261	STATUS	61511
282.65234375	n/a	144719	STATUS	61694
284.15234375	n/a	145487	STATUS	61450
285.65234375	n/a	146255	STATUS	61463
286.017578125	n/a	146442	STATUS	61471
286.29296875	n/a	146583	STATUS	61472
287.02734375	n/a	146959	STATUS	61480
288.03515625	n/a	147475	STATUS	61490
289.884765625	n/a	148422	STATUS	61501
290.96875	n/a	148977	STATUS	61510
291.21875	n/a	149105	STATUS	61450
292.71875	n/a	149873	STATUS	61468
293.0859375	n/a	150061	STATUS	61471
293.818359375	n/a	150436	STATUS	61472
294.09375	n/a	150577	STATUS	61480
295.1015625	n/a	151093	STATUS	61490
296.685546875	n/a	151904	STATUS	61501
298.03515625	n/a	152595	STATUS	61510
298.28515625	n/a	152723	STATUS	61450
299.78515625	n/a	153491	STATUS	61468
300.15234375	n/a	153679	STATUS	61471
300.88671875	n/a	154055	STATUS	61472
301.162109375	n/a	154196	STATUS	61480
302.169921875	n/a	154712	STATUS	61490
303.62890625	n/a	155459	STATUS	61501
304.419921875	n/a	155864	STATUS	61511
304.669921875	n/a	155992	STATUS	61450
306.169921875	n/a	156760	STATUS	61468
306.537109375	n/a	156948	STATUS	61471
307.26953125	n/a	157323	STATUS	61472
307.544921875	n/a	157464	STATUS	61480
308.552734375	n/a	157980	STATUS	61490
310.095703125	n/a	158770	STATUS	61501
311.337890625	n/a	159406	STATUS	61510
311.587890625	n/a	159534	STATUS	61450
313.087890625	n/a	160302	STATUS	61468
