onset	duration	sample	type	value
113.326171875	n/a	58024	STATUS	61490
114.359375	n/a	58553	STATUS	61500
114.884765625	n/a	58822	STATUS	61511
115.134765625	n/a	58950	STATUS	61450
116.634765625	n/a	59718	STATUS	61463
117.001953125	n/a	59906	STATUS	61471
117.27734375	n/a	60047	STATUS	61472
118.009765625	n/a	60422	STATUS	61480
119.017578125	n/a	60938	STATUS	61490
120.392578125	n/a	61642	STATUS	61501
120.994140625	n/a	61950	STATUS	61510
121.244140625	n/a	62078	STATUS	61450
122.744140625	n/a	62846	STATUS	61468
123.109375	n/a	63033	STATUS	61471
123.84375	n/a	63409	STATUS	61472
124.119140625	n/a	63550	STATUS	61480
125.126953125	n/a	64066	STATUS	61490
126.14453125	n/a	64587	STATUS	61501
126.71875	n/a	64881	STATUS	61510
126.96875	n/a	65009	STATUS	61450
128.46875	n/a	65777	STATUS	61463
128.8359375	n/a	65965	STATUS	61471
129.111328125	n/a	66106	STATUS	61472
129.84375	n/a	66481	STATUS	61480
130.853515625	n/a	66998	STATUS	61490
132.060546875	n/a	67616	STATUS	61501
132.927734375	n/a	68060	STATUS	61510
133.177734375	n/a	68188	STATUS	61450
134.677734375	n/a	68956	STATUS	61468
135.044921875	n/a	69144	STATUS	61471
135.77734375	n/a	69519	STATUS	61472
136.052734375	n/a	69660	STATUS	61480
137.060546875	n/a	70176	STATUS	61490
138.203125	n/a	70761	STATUS	61501
138.728515625	n/a	71030	STATUS	61511
138.978515625	n/a	71158	STATUS	61450
140.478515625	n/a	71926	STATUS	61463
140.845703125	n/a	72114	STATUS	61471
141.119140625	n/a	72254	STATUS	61472
141.853515625	n/a	72630	STATUS	61480
142.861328125	n/a	73146	STATUS	61490
143.87890625	n/a	73667	STATUS	61501
144.4453125	n/a	73957	STATUS	61511
144.6953125	n/a	74085	STATUS	61450
146.1953125	n/a	74853	STATUS	61463
146.5625	n/a	75041	STATUS	61471
146.837890625	n/a	75182	STATUS	61472
147.5703125	n/a	75557	STATUS	61480
148.578125	n/a	76073	STATUS	61490
149.62890625	n/a	76611	STATUS	61501
150.337890625	n/a	76974	STATUS	61510
150.587890625	n/a	77102	STATUS	61450
152.087890625	n/a	77870	STATUS	61463
152.455078125	n/a	78058	STATUS	61471
152.728515625	n/a	78198	STATUS	61472
153.462890625	n/a	78574	STATUS	61480
154.470703125	n/a	79090	STATUS	61490
155.521484375	n/a	79628	STATUS	61500
156.013671875	n/a	79880	STATUS	61510
156.263671875	n/a	80008	STATUS	61450
157.763671875	n/a	80776	STATUS	61463
158.12890625	n/a	80963	STATUS	61471
158.404296875	n/a	81104	STATUS	61472
159.138671875	n/a	81480	STATUS	61480
160.146484375	n/a	81996	STATUS	61490
161.421875	n/a	82649	STATUS	61501
162.087890625	n/a	82990	STATUS	61510
162.337890625	n/a	83118	STATUS	61450
163.837890625	n/a	83886	STATUS	61468
164.205078125	n/a	84074	STATUS	61471
164.939453125	n/a	84450	STATUS	61472
165.212890625	n/a	84590	STATUS	61480
166.22265625	n/a	85107	STATUS	61490
167.40625	n/a	85713	STATUS	61501
167.9296875	n/a	85981	STATUS	61511
168.1796875	n/a	86109	STATUS	61450
169.6796875	n/a	86877	STATUS	61463
170.046875	n/a	87065	STATUS	61471
170.322265625	n/a	87206	STATUS	61472
171.0546875	n/a	87581	STATUS	61480
172.064453125	n/a	88098	STATUS	61490
173.34765625	n/a	88755	STATUS	61500
173.78125	n/a	88977	STATUS	61510
174.03125	n/a	89105	STATUS	61450
175.53125	n/a	89873	STATUS	61468
175.8984375	n/a	90061	STATUS	61471
176.630859375	n/a	90436	STATUS	61472
176.90625	n/a	90577	STATUS	61480
177.9140625	n/a	91093	STATUS	61490
179.064453125	n/a	91682	STATUS	61501
179.6484375	n/a	91981	STATUS	61511
179.8984375	n/a	92109	STATUS	61450
181.3984375	n/a	92877	STATUS	61463
181.765625	n/a	93065	STATUS	61471
182.0390625	n/a	93205	STATUS	61472
182.7734375	n/a	93581	STATUS	61480
183.78125	n/a	94097	STATUS	61490
184.939453125	n/a	94690	STATUS	61501
185.431640625	n/a	94942	STATUS	61510
185.681640625	n/a	95070	STATUS	61450
187.181640625	n/a	95838	STATUS	61463
187.548828125	n/a	96026	STATUS	61471
187.82421875	n/a	96167	STATUS	61472
188.556640625	n/a	96542	STATUS	61480
189.564453125	n/a	97058	STATUS	61490
190.57421875	n/a	97575	STATUS	61501
191.2578125	n/a	97925	STATUS	61510
191.5078125	n/a	98053	STATUS	61450
193.0078125	n/a	98821	STATUS	61468
193.375	n/a	99009	STATUS	61471
194.107421875	n/a	99384	STATUS	61472
194.3828125	n/a	99525	STATUS	61480
195.390625	n/a	100041	STATUS	61490
196.408203125	n/a	100562	STATUS	61501
196.841796875	n/a	100784	STATUS	61510
197.091796875	n/a	100912	STATUS	61450
198.591796875	n/a	101680	STATUS	61468
198.95703125	n/a	101867	STATUS	61471
199.69140625	n/a	102243	STATUS	61472
199.966796875	n/a	102384	STATUS	61480
200.974609375	n/a	102900	STATUS	61490
201.31640625	n/a	103075	STATUS	61501
202.841796875	n/a	103856	STATUS	61510
203.091796875	n/a	103984	STATUS	61450
204.591796875	n/a	104752	STATUS	61463
204.958984375	n/a	104940	STATUS	61471
205.232421875	n/a	105080	STATUS	61472
205.966796875	n/a	105456	STATUS	61480
206.974609375	n/a	105972	STATUS	61490
208.30078125	n/a	106651	STATUS	61500
208.951171875	n/a	106984	STATUS	61510
209.201171875	n/a	107112	STATUS	61450
210.701171875	n/a	107880	STATUS	61463
211.06640625	n/a	108067	STATUS	61471
211.341796875	n/a	108208	STATUS	61472
212.076171875	n/a	108584	STATUS	61480
213.083984375	n/a	109100	STATUS	61490
214.392578125	n/a	109770	STATUS	61501
215.158203125	n/a	110162	STATUS	61510
215.408203125	n/a	110290	STATUS	61450
216.91015625	n/a	111059	STATUS	61468
217.275390625	n/a	111246	STATUS	61471
218.009765625	n/a	111622	STATUS	61472
218.28515625	n/a	111763	STATUS	61480
219.29296875	n/a	112279	STATUS	61490
220.55078125	n/a	112923	STATUS	61500
221.1015625	n/a	113205	STATUS	61511
221.3515625	n/a	113333	STATUS	61450
222.8515625	n/a	114101	STATUS	61463
223.21875	n/a	114289	STATUS	61471
223.4921875	n/a	114429	STATUS	61472
224.2265625	n/a	114805	STATUS	61480
225.234375	n/a	115321	STATUS	61490
226.443359375	n/a	115940	STATUS	61501
226.876953125	n/a	116162	STATUS	61511
227.126953125	n/a	116290	STATUS	61450
228.626953125	n/a	117058	STATUS	61468
228.994140625	n/a	117246	STATUS	61471
229.7265625	n/a	117621	STATUS	61472
230.001953125	n/a	117762	STATUS	61480
231.009765625	n/a	118278	STATUS	61490
232.04296875	n/a	118807	STATUS	61500
232.619140625	n/a	119102	STATUS	61510
240.03515625	n/a	122899	STATUS	61694
241.53515625	n/a	123667	STATUS	61450
243.037109375	n/a	124436	STATUS	61463
243.40234375	n/a	124623	STATUS	61471
243.677734375	n/a	124764	STATUS	61472
244.412109375	n/a	125140	STATUS	61480
245.419921875	n/a	125656	STATUS	61490
246.828125	n/a	126377	STATUS	61500
247.802734375	n/a	126876	STATUS	61510
248.052734375	n/a	127004	STATUS	61450
249.552734375	n/a	127772	STATUS	61463
249.919921875	n/a	127960	STATUS	61471
250.1953125	n/a	128101	STATUS	61472
250.927734375	n/a	128476	STATUS	61480
251.9375	n/a	128993	STATUS	61490
253.986328125	n/a	130042	STATUS	61500
260.63671875	n/a	133447	STATUS	61510
260.88671875	n/a	133575	STATUS	61450
262.388671875	n/a	134344	STATUS	61463
262.75390625	n/a	134531	STATUS	61471
263.029296875	n/a	134672	STATUS	61472
263.763671875	n/a	135048	STATUS	61480
264.771484375	n/a	135564	STATUS	61490
265.921875	n/a	136153	STATUS	61501
266.587890625	n/a	136494	STATUS	61510
266.837890625	n/a	136622	STATUS	61450
268.337890625	n/a	137390	STATUS	61463
268.705078125	n/a	137578	STATUS	61471
268.98046875	n/a	137719	STATUS	61472
269.712890625	n/a	138094	STATUS	61480
270.720703125	n/a	138610	STATUS	61490
272.3046875	n/a	139421	STATUS	61501
272.888671875	n/a	139720	STATUS	61510
273.138671875	n/a	139848	STATUS	61450
274.638671875	n/a	140616	STATUS	61463
275.005859375	n/a	140804	STATUS	61471
275.28125	n/a	140945	STATUS	61472
276.013671875	n/a	141320	STATUS	61480
277.021484375	n/a	141836	STATUS	61490
278.4140625	n/a	142549	STATUS	61501
279.072265625	n/a	142886	STATUS	61510
279.322265625	n/a	143014	STATUS	61450
280.822265625	n/a	143782	STATUS	61468
281.189453125	n/a	143970	STATUS	61471
281.921875	n/a	144345	STATUS	61472
282.197265625	n/a	144486	STATUS	61480
283.205078125	n/a	145002	STATUS	61490
284.53125	n/a	145681	STATUS	61501
285.48046875	n/a	146167	STATUS	61510
285.73046875	n/a	146295	STATUS	61450
287.23046875	n/a	147063	STATUS	61463
287.59765625	n/a	147251	STATUS	61471
287.873046875	n/a	147392	STATUS	61472
288.60546875	n/a	147767	STATUS	61480
289.615234375	n/a	148284	STATUS	61490
290.880859375	n/a	148932	STATUS	61501
291.46484375	n/a	149231	STATUS	61510
291.71484375	n/a	149359	STATUS	61450
293.21484375	n/a	150127	STATUS	61468
293.58203125	n/a	150315	STATUS	61471
294.314453125	n/a	150690	STATUS	61472
294.58984375	n/a	150831	STATUS	61480
295.59765625	n/a	151347	STATUS	61490
296.673828125	n/a	151898	STATUS	61501
